"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tshz3"	1.6568018919804e-17	0.385524858399366	0.188	0.115	4.2087738461978e-13	"E3Rorb"	"Tshz3"
"Rbms1"	1.68252589006756e-17	0.374486126050184	0.208	0.13	4.27412051853862e-13	"E3Rorb"	"Rbms1"
"Reep2"	1.80578480352737e-17	0.36546916626305	0.225	0.143	4.58723513640058e-13	"E3Rorb"	"Reep2"
"Gabra1"	3.23226687505233e-17	0.394393605485239	0.256	0.175	8.21092754269544e-13	"E3Rorb"	"Gabra1"
"Rims3"	4.07714212170603e-17	0.37096211898292	0.128	0.067	1.03571641317698e-12	"E3Rorb"	"Rims3"
"Dnm3"	6.22005600673391e-17	0.298276291206149	0.389	0.296	1.58008082739061e-12	"E3Rorb"	"Dnm3"
"Cdh6"	1.55699596483836e-16	0.363544252066955	0.242	0.162	3.95523684947889e-12	"E3Rorb"	"Cdh6"
"Tmtc1"	2.34677004983491e-16	0.373761834729676	0.236	0.158	5.96149995759561e-12	"E3Rorb"	"Tmtc1"
"Vav3"	2.40237641456028e-16	0.346914384812338	0.123	0.064	6.10275680590747e-12	"E3Rorb"	"Vav3"
"A830082K12Rik"	3.56263385766521e-16	0.381774823365887	0.275	0.195	9.05015878862692e-12	"E3Rorb"	"A830082K12Rik"
"Scn1a"	3.7213159621429e-16	0.326571872380473	0.433	0.353	9.45325893863162e-12	"E3Rorb"	"Scn1a"
"Mlip"	4.35722342334214e-16	0.338525324304697	0.351	0.266	1.1068654662316e-11	"E3Rorb"	"Mlip"
"Vgll4"	5.26832717787994e-16	0.299462290902414	0.139	0.076	1.33831315299684e-11	"E3Rorb"	"Vgll4"
"Ptpn5"	6.5330860896372e-16	0.34131931003142	0.394	0.311	1.65959985935054e-11	"E3Rorb"	"Ptpn5"
"Tmtc2"	1.34685892539332e-15	0.293143700358304	0.225	0.147	3.42142572817666e-11	"E3Rorb"	"Tmtc2"
"Sphkap"	2.02772549483909e-15	0.316229642939553	0.347	0.262	5.15103107453974e-11	"E3Rorb"	"Sphkap"
"Socs2"	5.49061213842809e-15	0.346481334336978	0.146	0.084	1.39478020152489e-10	"E3Rorb"	"Socs2"
"Cntn3"	1.55727479241844e-14	0.283442243316236	0.451	0.378	3.95594515518056e-10	"E3Rorb"	"Cntn3"
"Slc2a13"	3.59724536935588e-14	0.26856887759828	0.438	0.359	9.13808241177475e-10	"E3Rorb"	"Slc2a13"
"Pde8b"	4.10916417627853e-14	0.30640907743764	0.319	0.241	1.04385097570003e-09	"E3Rorb"	"Pde8b"
"Mid1"	2.82686656597763e-13	0.269690757026458	0.104	0.055	7.18108913755298e-09	"E3Rorb"	"Mid1"
"Pde7b"	3.11086394559906e-13	0.269666595276941	0.34	0.262	7.9025276810053e-09	"E3Rorb"	"Pde7b"
"Plch2"	3.28863632376764e-13	0.368357657710324	0.139	0.083	8.35412285326695e-09	"E3Rorb"	"Plch2"
"Lhfp"	6.55145478292453e-13	0.337295448449968	0.175	0.113	1.66426605850632e-08	"E3Rorb"	"Lhfp"
"Bmp1"	1.61695327579685e-12	0.296924624102959	0.282	0.21	4.10754640650673e-08	"E3Rorb"	"Bmp1"
"Tmem132d"	2.21317944091525e-12	0.309713514282659	0.401	0.331	5.622139733757e-08	"E3Rorb"	"Tmem132d"
"Zdhhc2"	2.61768576985245e-12	0.316511151903293	0.158	0.1	6.64970716115617e-08	"E3Rorb"	"Zdhhc2"
"Myo1b"	3.48927035495717e-12	0.290980742957373	0.119	0.068	8.86379348269769e-08	"E3Rorb"	"Myo1b"
"Arhgef17"	3.66305312517384e-12	0.348572752808397	0.164	0.106	9.30525385387911e-08	"E3Rorb"	"Arhgef17"
"Ppfia4"	4.85082908520954e-12	0.307820190864111	0.104	0.058	1.23225611251578e-07	"E3Rorb"	"Ppfia4"
"Tspan17"	1.5847179268111e-11	0.317373244384123	0.142	0.089	4.02565894947823e-07	"E3Rorb"	"Tspan17"
"Cnih3"	2.62829218644332e-11	0.329572570178328	0.107	0.062	6.67665064122198e-07	"E3Rorb"	"Cnih3"
"Dcx"	3.95606542561924e-11	0.291662822102834	0.212	0.15	1.00495930007005e-06	"E3Rorb"	"Dcx"
"Sntg2"	4.14042558290816e-11	0.26592263785339	0.112	0.065	1.05179231082616e-06	"E3Rorb"	"Sntg2"
"C1qtnf4"	4.83077210149266e-11	0.336451803379832	0.173	0.117	1.22716103694218e-06	"E3Rorb"	"C1qtnf4"
"Slc30a3"	5.97065987807857e-11	0.316877583706671	0.186	0.129	1.5167267288283e-06	"E3Rorb"	"Slc30a3"
"Satb1"	1.55359642359611e-10	0.287148236828762	0.188	0.13	3.94660099486121e-06	"E3Rorb"	"Satb1"
"Kcnj3"	2.20330515585244e-10	0.269444381402808	0.357	0.295	5.59705608741196e-06	"E3Rorb"	"Kcnj3"
