"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ank11"	3.283607419438e-27	0.672616459332017	0.223	0.051	8.34134792759834e-23	"InS"	"Ank1"
"Rbfox11"	3.52245170552434e-26	0.530036888152832	0.961	0.807	8.94808406754349e-22	"InS"	"Rbfox1"
"Cntnap5a4"	9.27204466348088e-26	0.731870326630247	0.723	0.405	2.35537750586405e-21	"InS"	"Cntnap5a"
"Abat1"	2.22108589543868e-25	0.581552664189191	0.175	0.035	5.64222450018287e-21	"InS"	"Abat"
"Dlx1as1"	2.28053672834545e-25	0.545618070090008	0.107	0.014	5.79324745101594e-21	"InS"	"Dlx1as"
"Pygo1"	5.31083568908205e-25	0.60678448040482	0.131	0.021	1.34911159009751e-20	"InS"	"Pygo1"
"E430024P14Rik1"	6.20083053619995e-25	0.541916826163989	0.117	0.017	1.57519698111087e-20	"InS"	"E430024P14Rik"
"Lppr1"	1.11452477720347e-24	0.577285515413796	0.194	0.043	2.83122729152996e-20	"InS"	"Lppr1"
"Astn22"	2.6383714813554e-24	0.736265723116213	0.733	0.439	6.70225507408713e-20	"InS"	"Astn2"
"Tcf43"	1.51751845782881e-23	0.658040786791542	0.796	0.577	3.85495213842252e-19	"InS"	"Tcf4"
"Grik22"	1.71024138529281e-23	0.723692111172056	0.738	0.475	4.34452619105932e-19	"InS"	"Grik2"
"A430010J10Rik"	3.34216052523818e-23	0.55727931014197	0.107	0.016	8.49009038226254e-19	"InS"	"A430010J10Rik"
"Dlgap11"	3.5335921457025e-23	0.511317949446152	0.937	0.84	8.97638412772806e-19	"InS"	"Dlgap1"
"Rab27b"	4.31809605038602e-23	0.756061850854406	0.277	0.083	1.09692593967956e-18	"InS"	"Rab27b"
"Neto11"	7.68835110420805e-23	0.843292196285317	0.51	0.248	1.95307183100197e-18	"InS"	"Neto1"
"Cdh4"	1.08638092391507e-22	0.689058172877822	0.228	0.061	2.75973346102145e-18	"InS"	"Cdh4"
"Pam2"	1.4308614010794e-22	0.706324191275073	0.67	0.396	3.63481721716201e-18	"InS"	"Pam"
"Limch11"	2.41372241049825e-22	0.710384101563372	0.476	0.209	6.13157903938871e-18	"InS"	"Limch1"
"Cers61"	1.54143693648929e-21	0.807732666674176	0.495	0.236	3.91571224976376e-17	"InS"	"Cers6"
"Fstl52"	1.5663584407317e-21	0.683461198969372	0.218	0.059	3.97902034699073e-17	"InS"	"Fstl5"
"Gm269051"	4.02970137870633e-21	0.485171023928247	0.136	0.026	1.02366504123277e-16	"InS"	"Gm26905"
"Sema4g1"	7.5380853891136e-21	0.412804041473112	0.112	0.018	1.91489983139653e-16	"InS"	"Sema4g"
"A230077H06Rik"	1.19760130847813e-20	0.468134324700587	0.107	0.017	3.042266603927e-16	"InS"	"A230077H06Rik"
"Arhgap6"	3.3540043740204e-20	0.549671459513297	0.136	0.027	8.52017731132403e-16	"InS"	"Arhgap6"
"Neto22"	4.08303667785714e-20	0.693951291999807	0.286	0.094	1.03721380727605e-15	"InS"	"Neto2"
"Grik32"	5.46588358092067e-20	0.698171288396911	0.286	0.095	1.38849840606128e-15	"InS"	"Grik3"
"Meg32"	5.70584626847553e-20	0.306264094718014	1	0.973	1.44945612758084e-15	"InS"	"Meg3"
"Grip21"	6.90294133704302e-20	0.520341475430043	0.15	0.032	1.75355418784904e-15	"InS"	"Grip2"
"Satb12"	9.17022913850099e-20	0.756880916949855	0.345	0.134	2.32951330805341e-15	"InS"	"Satb1"
"Oxr13"	3.0691612276952e-19	0.586542106405724	0.84	0.655	7.79659026671412e-15	"InS"	"Oxr1"
"Man1a1"	8.56767002386462e-19	0.868403893283474	0.306	0.114	2.17644521616233e-14	"InS"	"Man1a"
"Gab21"	1.35111938460999e-18	0.502278370680404	0.277	0.093	3.43224857272476e-14	"InS"	"Gab2"
"Ctnnd21"	2.70715050080713e-18	0.468321428483514	0.874	0.738	6.87697441720035e-14	"InS"	"Ctnnd2"
"Mkx2"	3.37635836638438e-18	0.702521215167813	0.451	0.211	8.57696315812623e-14	"InS"	"Mkx"
"Lama42"	5.45444878996075e-18	0.660870000163367	0.18	0.048	1.38559362611373e-13	"InS"	"Lama4"
"Runx1t1"	6.02759131408545e-18	0.699828711687214	0.374	0.158	1.53118902151713e-13	"InS"	"Runx1t1"
"Kcnc11"	1.18749833245676e-17	0.662744942121502	0.248	0.081	3.01660201393992e-13	"InS"	"Kcnc1"
"Sema6c1"	1.48296412323959e-17	0.452629122599523	0.126	0.026	3.76717376226553e-13	"InS"	"Sema6c"
"Peg32"	1.60271665385638e-17	0.699109708513076	0.597	0.339	4.07138111579137e-13	"InS"	"Peg3"
"Cntn41"	1.69626552675909e-17	0.634539439890075	0.806	0.628	4.30902331762612e-13	"InS"	"Cntn4"
"Spock32"	2.22685236141117e-17	0.695164218595732	0.354	0.148	5.65687305369279e-13	"InS"	"Spock3"
"Snhg112"	2.23644596771305e-17	0.28468888319706	1	0.957	5.68124369178147e-13	"InS"	"Snhg11"
"1110004F10Rik1"	6.82611957584479e-17	0.536327339699693	0.18	0.049	1.73403915585185e-12	"InS"	"1110004F10Rik"
"Nebl3"	1.16160669506534e-16	0.653958778068967	0.49	0.258	2.95082948747448e-12	"InS"	"Nebl"
"Thsd7a3"	1.36158283916579e-16	0.903708034175711	0.359	0.157	3.45882888633285e-12	"InS"	"Thsd7a"
"Ccser1"	2.7919214137016e-16	0.445684227846046	0.835	0.653	7.09231796722619e-12	"InS"	"Ccser1"
"Ankrd44"	3.40855369449471e-16	0.42407595869988	0.155	0.04	8.6587489501249e-12	"InS"	"Ankrd44"
"Rgs92"	4.07562679399369e-16	0.636165616856593	0.16	0.043	1.03533147447822e-11	"InS"	"Rgs9"
"Slc8a32"	4.27315821011645e-16	0.527798190688376	0.262	0.093	1.08551038011588e-11	"InS"	"Slc8a3"
"Smc2"	4.29880745713867e-16	0.649649051418755	0.155	0.041	1.09202605833694e-11	"InS"	"Smc2"
"Usp292"	4.39521794610625e-16	0.739324619448171	0.286	0.112	1.11651721484937e-11	"InS"	"Usp29"
"Gpc11"	6.58980871443991e-16	0.511923694105378	0.136	0.032	1.67400910772917e-11	"InS"	"Gpc1"
"Lypd62"	1.37409060944232e-15	0.366936682792197	0.102	0.02	3.49060237516632e-11	"InS"	"Lypd6"
"Epha64"	1.47037598862461e-15	0.513670831747269	0.665	0.406	3.73519612390309e-11	"InS"	"Epha6"
"Daam12"	1.5616279596593e-15	0.611629201540324	0.316	0.128	3.96700350592251e-11	"InS"	"Daam1"
"Tmtc22"	8.84429801316842e-15	0.639817393157713	0.345	0.154	2.24671702428517e-10	"InS"	"Tmtc2"
"Palm21"	1.44259721892921e-14	0.46643656876777	0.199	0.064	3.66462971524588e-10	"InS"	"Palm2"
"Rab3c4"	2.17886606719425e-14	0.671601513045882	0.379	0.178	5.53497347049354e-10	"InS"	"Rab3c"
"Pcdh11x1"	2.20470213303505e-14	0.703565974312611	0.345	0.158	5.60060482854895e-10	"InS"	"Pcdh11x"
"Galnt144"	2.21969297090321e-14	0.576903857233971	0.243	0.089	5.63868605398543e-10	"InS"	"Galnt14"
"Snhg141"	4.10958489076261e-14	0.394824046948953	0.874	0.749	1.04395784980043e-09	"InS"	"Snhg14"
"Arnt21"	2.50490278051626e-13	0.644473980260403	0.422	0.228	6.36320453334546e-09	"InS"	"Arnt2"
"Luzp22"	2.89488800503053e-13	0.302615105146867	0.393	0.19	7.35388399917905e-09	"InS"	"Luzp2"
"Mcc1"	3.06277208390128e-13	0.533359486686876	0.218	0.079	7.78035992473442e-09	"InS"	"Mcc"
"Pvt11"	3.13064461347777e-13	0.55287923467167	0.243	0.093	7.95277651161758e-09	"InS"	"Pvt1"
"Sntg12"	3.24948865975873e-13	0.470095577679428	0.801	0.627	8.2546760423851e-09	"InS"	"Sntg1"
"Arhgap181"	3.6525826690123e-13	0.470757398399869	0.131	0.035	9.27865575409194e-09	"InS"	"Arhgap18"
"Col11a12"	3.78364180760341e-13	0.621305741763458	0.17	0.054	9.61158528385493e-09	"InS"	"Col11a1"
"2610203C20Rik2"	5.9946056933478e-13	0.446905674248825	0.621	0.39	1.52280968428114e-08	"InS"	"2610203C20Rik"
"Gm4258"	6.14612390012382e-13	0.578631888767337	0.325	0.148	1.56129985434845e-08	"InS"	"Gm4258"
"Cntnap5c1"	7.46966098416575e-13	0.450293407875975	0.214	0.077	1.89751797980763e-08	"InS"	"Cntnap5c"
"Erbb41"	8.65203896547596e-13	0.536180402246772	0.354	0.169	2.19787745839986e-08	"InS"	"Erbb4"
"Calb11"	8.66211222112197e-13	0.605126822707162	0.262	0.108	2.20043636753161e-08	"InS"	"Calb1"
"Ptprr"	8.69354252710303e-13	0.549655897215599	0.345	0.164	2.20842060815998e-08	"InS"	"Ptprr"
"Tnrc6a1"	1.72186926839245e-12	0.490845391913302	0.442	0.23	4.37406450249733e-08	"InS"	"Tnrc6a"
"Tmeff21"	2.03947550392513e-12	0.615294996780105	0.636	0.452	5.18087962262099e-08	"InS"	"Tmeff2"
"Klf121"	3.91350528748007e-12	0.53867994821815	0.354	0.173	9.94147748178562e-08	"InS"	"Klf12"
"Lppr5"	3.9220785423299e-12	0.612751821146291	0.243	0.1	9.96325612108065e-08	"InS"	"Lppr5"
"Nrip32"	4.73258456453708e-12	0.369897372977907	0.136	0.039	1.20221845692935e-07	"InS"	"Nrip3"
"Mtss11"	5.84524356435832e-12	0.367375248295384	0.121	0.033	1.48486722265394e-07	"InS"	"Mtss1"
"Amy11"	5.89031797590045e-12	0.430795343596644	0.316	0.142	1.49631747541799e-07	"InS"	"Amy1"
"Cdh72"	6.99479048197657e-12	0.5991361670964	0.233	0.094	1.77688662613651e-07	"InS"	"Cdh7"
"Tox31"	9.75292602975489e-12	0.570279776771004	0.141	0.043	2.47753579933863e-07	"InS"	"Tox3"
"C530008M17Rik3"	9.97330716801113e-12	0.511614597990965	0.228	0.09	2.53351921988987e-07	"InS"	"C530008M17Rik"
"Ncoa12"	1.0617039875782e-11	0.478410371707166	0.408	0.212	2.69704663964489e-07	"InS"	"Ncoa1"
"Kcnab14"	1.30396419676764e-11	0.499454962736852	0.286	0.126	3.31246024904884e-07	"InS"	"Kcnab1"
"E230016M11Rik"	1.30764659834571e-11	0.419792287916975	0.199	0.072	3.3218146537776e-07	"InS"	"E230016M11Rik"
"Robo23"	1.45827978277634e-11	0.476613288977773	0.699	0.509	3.70446813218674e-07	"InS"	"Robo2"
"Gm207542"	1.58130232849754e-11	0.679259102541579	0.437	0.252	4.0169823050823e-07	"InS"	"Gm20754"
"Spon11"	2.26136208136212e-11	0.548543720383227	0.199	0.075	5.7445380952842e-07	"InS"	"Spon1"
"Chl11"	3.08019613036114e-11	0.570514101527012	0.311	0.151	7.82462222995641e-07	"InS"	"Chl1"
"5330434G04Rik1"	3.77313811536902e-11	0.490813439971999	0.282	0.128	9.58490275447193e-07	"InS"	"5330434G04Rik"
"Epb41l13"	4.0612612048644e-11	0.595399304760874	0.398	0.216	1.0316821838717e-06	"InS"	"Epb41l1"
"Cadm21"	5.1666930304258e-11	0.299396078971383	0.956	0.918	1.31249503051907e-06	"InS"	"Cadm2"
"Srgap21"	7.56769542827445e-11	0.497962122951172	0.417	0.229	1.92242166964456e-06	"InS"	"Srgap2"
"Vstm2a1"	7.76307556671414e-11	0.462225870034363	0.272	0.121	1.97205408621239e-06	"InS"	"Vstm2a"
"Ltbp31"	8.73508523369078e-11	0.42588676299936	0.155	0.052	2.21897370191447e-06	"InS"	"Ltbp3"
"Stxbp62"	1.14712364472613e-10	0.610545247506816	0.301	0.145	2.91403819469778e-06	"InS"	"Stxbp6"
"Enox13"	1.29672953174437e-10	0.582631523899669	0.558	0.373	3.29408202949021e-06	"InS"	"Enox1"
"Adcyap1r11"	2.78813778917881e-10	0.529195005431641	0.189	0.073	7.08270642585093e-06	"InS"	"Adcyap1r1"
"Frmpd41"	3.00208655243014e-10	0.38435271370474	0.791	0.615	7.62620046913829e-06	"InS"	"Frmpd4"
"Fnip21"	3.17585640725356e-10	0.451488624220343	0.155	0.054	8.06762803134622e-06	"InS"	"Fnip2"
"Cplx12"	4.20263417465422e-10	0.392990734813325	0.17	0.062	1.06759515938741e-05	"InS"	"Cplx1"
"Sh3kbp1"	4.42959152933983e-10	0.55721193943057	0.233	0.101	1.1252491361982e-05	"InS"	"Sh3kbp1"
"Zfp6412"	5.61409044130857e-10	0.423315794397272	0.165	0.06	1.42614739480562e-05	"InS"	"Zfp641"
"Ablim3"	6.49518975306744e-10	0.448757266708566	0.175	0.067	1.64997305297172e-05	"InS"	"Ablim3"
"Slc24a33"	7.11753041745276e-10	0.621099619359208	0.374	0.205	1.80806625194553e-05	"InS"	"Slc24a3"
"Asxl3"	8.47300058517598e-10	0.409568874228282	0.17	0.063	2.15239633865225e-05	"InS"	"Asxl3"
"Ccdc1363"	8.50079542663304e-10	0.486352157296087	0.345	0.183	2.15945706222759e-05	"InS"	"Ccdc136"
"Fchsd21"	1.02235512812492e-09	0.436853816505728	0.223	0.096	2.59708873197574e-05	"InS"	"Fchsd2"
"Lrrc16b1"	1.42027427432531e-09	0.464140217006207	0.214	0.09	3.60792273906859e-05	"InS"	"Lrrc16b"
"Clmp3"	1.42278391152487e-09	0.453287276743455	0.18	0.07	3.61429797044663e-05	"InS"	"Clmp"
"Gprasp21"	1.43208124823729e-09	0.5664026503738	0.301	0.15	3.63791599489718e-05	"InS"	"Gprasp2"
"Akap91"	2.40495716417183e-09	0.36648247996906	0.447	0.259	6.10931268414569e-05	"InS"	"Akap9"
"Arhgap262"	2.59597748684732e-09	0.381800161671808	0.583	0.399	6.59456160983824e-05	"InS"	"Arhgap26"
"Ntm4"	2.67019714017139e-09	0.292153904278447	0.927	0.823	6.78310179517738e-05	"InS"	"Ntm"
"Dnm31"	3.20456583215925e-09	0.405042543156259	0.485	0.306	8.14055858343415e-05	"InS"	"Dnm3"
"Stac22"	3.39767244025869e-09	0.368169026406225	0.102	0.03	8.63110729998915e-05	"InS"	"Stac2"
"Ppfia43"	3.76231825673805e-09	0.352247693061626	0.165	0.062	9.55741706759167e-05	"InS"	"Ppfia4"
"Fgf122"	4.09363179757329e-09	0.484958490367478	0.544	0.381	0.000103990528553754	"InS"	"Fgf12"
"Thtpa"	8.75386764870992e-09	0.3114148609956	0.126	0.042	0.000222374499880178	"InS"	"Thtpa"
"St8sia1"	9.0442588765063e-09	0.263888551991495	0.117	0.037	0.00022975130823989	"InS"	"St8sia1"
"Ugdh"	1.07041078727751e-08	0.327117683248452	0.121	0.04	0.000271916452292107	"InS"	"Ugdh"
"Chrm33"	1.14525052543129e-08	0.438393396512147	0.699	0.545	0.00029092799097531	"InS"	"Chrm3"
"Nav13"	1.96071849357776e-08	0.487865594627832	0.398	0.237	0.000498081318923559	"InS"	"Nav1"
"Rrbp11"	2.10275578414844e-08	0.338825791962272	0.165	0.065	0.000534163051847229	"InS"	"Rrbp1"
"Grid25"	2.49180156777934e-08	0.388775833459575	0.665	0.499	0.000632992352262987	"InS"	"Grid2"
"Dlgap22"	3.01334425757503e-08	0.308715541186339	0.859	0.77	0.000765479841751785	"InS"	"Dlgap2"
"Sptb1"	3.19599110516146e-08	0.264520361310877	0.126	0.044	0.000811877620444166	"InS"	"Sptb"
"Hdac51"	4.5576640962748e-08	0.400757551381701	0.184	0.079	0.00115778341037669	"InS"	"Hdac5"
"Gm101252"	4.6311465233963e-08	0.313574155877179	0.155	0.061	0.00117645015133836	"InS"	"Gm10125"
"Serpini12"	4.9063276102932e-08	0.444220731716155	0.282	0.147	0.00124635440284278	"InS"	"Serpini1"
"Atp13a21"	5.01339121649489e-08	0.4644570348062	0.286	0.153	0.0012735517707262	"InS"	"Atp13a2"
"Rev3l1"	5.57020376519526e-08	0.432727531984722	0.306	0.163	0.00141499886247255	"InS"	"Rev3l"
"Thrb3"	5.97983766018657e-08	0.392483593573492	0.568	0.407	0.0015190581608172	"InS"	"Thrb"
"Aff2"	7.07682696039542e-08	0.513220139665765	0.296	0.159	0.00179772635274925	"InS"	"Aff2"
"Zfp6082"	7.65541455783945e-08	0.332641967048357	0.17	0.071	0.00194470496012795	"InS"	"Zfp608"
"Gaa1"	8.49611229613709e-08	0.430191540542694	0.18	0.078	0.0021582674065877	"InS"	"Gaa"
"Pard3b1"	8.95351016196008e-08	0.463260364583355	0.117	0.041	0.00227446018644272	"InS"	"Pard3b"
"Ache"	1.24780659344131e-07	0.363081023127911	0.126	0.047	0.00316980308931896	"InS"	"Ache"
"Parp81"	1.37558576512449e-07	0.480283089689916	0.18	0.08	0.00349440051914574	"InS"	"Parp8"
"Tmem441"	1.47443279880418e-07	0.500201220355216	0.228	0.114	0.00374550163880227	"InS"	"Tmem44"
"Nelfb"	1.5669446194004e-07	0.386152388166465	0.146	0.058	0.00398050941666284	"InS"	"Nelfb"
"Mtus2"	1.6927330636175e-07	0.423738765550187	0.311	0.173	0.00430004980150753	"InS"	"Mtus2"
"Micalcl"	1.9625564406116e-07	0.393334430635027	0.102	0.034	0.00498548212608564	"InS"	"Micalcl"
"Epb41l31"	2.29293059667006e-07	0.375599417995848	0.388	0.236	0.00582473159472095	"InS"	"Epb41l3"
"Hook31"	2.64347227140331e-07	0.387404102550131	0.32	0.182	0.00671521261104582	"InS"	"Hook3"
"Cntn32"	2.88062382588089e-07	0.416778323881741	0.544	0.385	0.00731764870488521	"InS"	"Cntn3"
"Cacna2d33"	2.90216521621797e-07	0.325474152195917	0.714	0.546	0.0073723702987585	"InS"	"Cacna2d3"
"Osbpl91"	3.10865296776755e-07	0.300971075034762	0.267	0.138	0.0078969111340199	"InS"	"Osbpl9"
"Pclo2"	3.13609459444976e-07	0.359280897732463	0.631	0.502	0.00796662109828074	"InS"	"Pclo"
"Mpped13"	3.42659937760588e-07	0.4716153459981	0.306	0.175	0.00870459039893221	"InS"	"Mpped1"
"Tshz31"	5.04861991060058e-07	0.402052242389859	0.238	0.123	0.0128250091588986	"InS"	"Tshz3"
"Hdac31"	6.55446487969809e-07	0.336895661443945	0.204	0.098	0.0166503071338971	"InS"	"Hdac3"
"Frmd4a3"	6.68035497104396e-07	0.278139819686715	0.694	0.557	0.016970105732943	"InS"	"Frmd4a"
"Mirg2"	6.71048995027673e-07	0.39223653272561	0.413	0.263	0.017046657620688	"InS"	"Mirg"
"Sema6a"	6.88357695977004e-07	0.355833212929194	0.175	0.078	0.0174863505509038	"InS"	"Sema6a"
"Iqsec11"	8.03288029647896e-07	0.400731571582099	0.364	0.225	0.0204059258171455	"InS"	"Iqsec1"
"Spats2l1"	8.89032163311728e-07	0.432700691830271	0.243	0.128	0.0225840840446078	"InS"	"Spats2l"
"Rnf144b2"	9.25896541245807e-07	0.260213345085472	0.131	0.052	0.0235205498372672	"InS"	"Rnf144b"
"Srgap32"	1.12037934698341e-06	0.383551743581788	0.495	0.348	0.0284609965514195	"InS"	"Srgap3"
"Erbb2ip1"	1.18298562389415e-06	0.257411733879991	0.112	0.041	0.030051383803783	"InS"	"Erbb2ip"
"Dner2"	1.2346423752203e-06	0.375684061198859	0.155	0.068	0.0313636202577213	"InS"	"Dner"
"Ptprt4"	1.31699539532662e-06	0.509340393011476	0.51	0.38	0.0334556340274821	"InS"	"Ptprt"
"Col25a11"	1.35874862416586e-06	0.574803103824948	0.175	0.084	0.0345162912996854	"InS"	"Col25a1"
"Tiam11"	1.36033559726525e-06	0.307969536793251	0.15	0.065	0.0345566051773291	"InS"	"Tiam1"
"Asic22"	1.42544369984889e-06	0.317694915943948	0.845	0.75	0.0362105463072614	"InS"	"Asic2"
"Dlc12"	1.69099484172507e-06	0.307961794063456	0.345	0.204	0.042956341964342	"InS"	"Dlc1"
"Snrnp48"	1.7887957385487e-06	0.406703053287824	0.267	0.147	0.0454407781463526	"InS"	"Snrnp48"
"Tmem1172"	1.80238937315285e-06	0.2786004082894	0.146	0.062	0.0457860972462018	"InS"	"Tmem117"
"Ncam12"	1.92772385936647e-06	0.280023327014812	0.539	0.384	0.0489699691994865	"InS"	"Ncam1"
"Acadvl1"	2.07598059621438e-06	0.349068748387567	0.184	0.089	0.0527361350856339	"InS"	"Acadvl"
"March8"	2.10396998119559e-06	0.26248724899582	0.102	0.037	0.0534471494323115	"InS"	"March8"
"Robo12"	2.71064696909491e-06	0.364998004627833	0.262	0.146	0.068858564955918	"InS"	"Robo1"
"Cdc14b1"	2.92388152910354e-06	0.289138589746812	0.146	0.064	0.0742753624838172	"InS"	"Cdc14b"
"Il1rapl25"	2.94051275498382e-06	0.594151957644766	0.364	0.24	0.074697845514854	"InS"	"Il1rapl2"
"Sfxn11"	3.35770037906396e-06	0.313794686946669	0.17	0.079	0.0852956627293618	"InS"	"Sfxn1"
"Dzip3"	3.93461774856416e-06	0.356968253812582	0.34	0.208	0.0999510946667753	"InS"	"Dzip3"
"Gm431741"	4.05963759835924e-06	0.33107244076491	0.126	0.053	0.10312697391112	"InS"	"Gm43174"
"Zhx31"	4.11059863312503e-06	0.37631649398861	0.155	0.071	0.104421537077275	"InS"	"Zhx3"
"Eif2ak41"	4.13974304057666e-06	0.365577431374777	0.175	0.084	0.105161892459769	"InS"	"Eif2ak4"
"Ankrd242"	4.55109839859017e-06	0.34149830587549	0.218	0.114	0.115611552619386	"InS"	"Ankrd24"
"Evl1"	4.88668073661747e-06	0.331779301253306	0.262	0.147	0.124136350752294	"InS"	"Evl"
"Cyth3"	4.9085520527771e-06	0.31570549786813	0.141	0.063	0.124691947796697	"InS"	"Cyth3"
"Gm15800"	5.35090079932362e-06	0.264777572184443	0.369	0.225	0.135928933005218	"InS"	"Gm15800"
"Crtc31"	6.5342705383098e-06	0.281730176421296	0.146	0.066	0.165990074484684	"InS"	"Crtc3"
"Pld54"	7.54284155091197e-06	0.377836170265949	0.155	0.073	0.191610803917817	"InS"	"Pld5"
"Ptpru3"	7.80178457234874e-06	0.287640182715634	0.131	0.057	0.198188733491375	"InS"	"Ptpru"
"Olfm33"	8.17677408108007e-06	0.556809811047542	0.243	0.141	0.207714591981677	"InS"	"Olfm3"
"Hunk1"	8.65888799156596e-06	0.37744092256255	0.112	0.046	0.21996173164975	"InS"	"Hunk"
"Hjurp"	9.82994944418328e-06	0.324416617127052	0.18	0.09	0.249710205730588	"InS"	"Hjurp"
"Fam49b1"	9.93264471922819e-06	0.369150335060604	0.286	0.171	0.252318973802554	"InS"	"Fam49b"
"Tox4"	1.04978110076681e-05	0.456890539766496	0.311	0.194	0.266675893027793	"InS"	"Tox"
"St6galnac56"	1.06498957632882e-05	0.449931978003841	0.272	0.162	0.27053930207481	"InS"	"St6galnac5"
"Sorbs12"	1.16383218457438e-05	0.39750128742849	0.325	0.2	0.295648289847429	"InS"	"Sorbs1"
"Dzip1l"	1.32540705983487e-05	0.25402101750506	0.107	0.043	0.336693155409851	"InS"	"Dzip1l"
"Clip41"	1.3310199280015e-05	0.25380850931136	0.117	0.049	0.338118992310222	"InS"	"Clip4"
"Adrbk23"	1.73581259276956e-05	0.300692678626966	0.214	0.116	0.440948472941251	"InS"	"Adrbk2"
"Dclk21"	1.83933178031566e-05	0.332281504778172	0.199	0.106	0.467245452153588	"InS"	"Dclk2"
"Klhl322"	1.92766792152395e-05	0.33414195398105	0.199	0.107	0.489685482104728	"InS"	"Klhl32"
"Fhl1"	2.1098874408939e-05	0.348582445220493	0.15	0.073	0.535974706610276	"InS"	"Fhl1"
"2410089E03Rik"	2.28487185988567e-05	0.263645037717847	0.466	0.324	0.580425998566756	"InS"	"2410089E03Rik"
"Smarcc2"	2.62271977143224e-05	0.321171721041506	0.316	0.197	0.666249503536931	"InS"	"Smarcc2"
"Cpeb31"	2.99350072393123e-05	0.281252975455313	0.374	0.249	0.76043898890025	"InS"	"Cpeb3"
"Lrrfip2"	3.00637269698719e-05	0.281554460314995	0.209	0.114	0.763708856215655	"InS"	"Lrrfip2"
"Vstm5"	3.1884675619591e-05	0.384332916856744	0.112	0.049	0.80996641476447	"InS"	"Vstm5"
"Slc7a141"	3.23968615489837e-05	0.327129791728467	0.209	0.114	0.822977473928834	"InS"	"Slc7a14"
"Sulf24"	3.24139619174243e-05	0.267667173252198	0.146	0.07	0.823411874588329	"InS"	"Sulf2"
"Rian1"	3.3443558528502e-05	0.262100541298038	0.583	0.442	0.849566717299537	"InS"	"Rian"
"Prune2"	3.59921410974111e-05	0.365737618876621	0.17	0.088	0.914308360297535	"InS"	"Prune2"
"Cntn1"	3.7407821810723e-05	0.25655658341184	0.597	0.457	0.950270897457797	"InS"	"Cntn1"
"Wwox1"	3.84638983017359e-05	0.316096508815049	0.316	0.206	0.977098408558998	"InS"	"Wwox"
"Pnck"	3.90809341016053e-05	0.307819783422247	0.17	0.087	0.992772968983079	"InS"	"Pnck"
"Tm6sf11"	4.00685671316375e-05	0.281978542957867	0.126	0.058	1	"InS"	"Tm6sf1"
"Xkr61"	4.14782749841818e-05	0.298548529490818	0.262	0.155	1	"InS"	"Xkr6"
"Nrip1"	4.35008852649427e-05	0.262472940479758	0.146	0.071	1	"InS"	"Nrip1"
"Mapre3"	4.69706325504689e-05	0.382040238634437	0.175	0.093	1	"InS"	"Mapre3"
"Pfkp1"	5.32767663717612e-05	0.277912933844279	0.466	0.337	1	"InS"	"Pfkp"
"Dzip11"	5.53736980957708e-05	0.336341800805892	0.296	0.188	1	"InS"	"Dzip1"
"Gmds1"	5.83303202113636e-05	0.378305689919397	0.238	0.143	1	"InS"	"Gmds"
"Dync1h11"	6.6396955513787e-05	0.262556982792939	0.325	0.207	1	"InS"	"Dync1h1"
"Zfp609"	6.99163452638608e-05	0.284850410398731	0.175	0.092	1	"InS"	"Zfp609"
"Hs3st53"	7.68198239009843e-05	0.338943467801716	0.223	0.13	1	"InS"	"Hs3st5"
"Lamtor41"	9.1007909761131e-05	0.29694351057052	0.175	0.094	1	"InS"	"Lamtor4"
"Ivd1"	9.58463226811453e-05	0.301112782179351	0.155	0.081	1	"InS"	"Ivd"
"Mafg"	0.000104774375756527	0.316182496111133	0.282	0.178	1	"InS"	"Mafg"
"Nell14"	0.000109666716603401	0.328491097143307	0.325	0.211	1	"InS"	"Nell1"
"Gnas1"	0.000109947064478709	0.327830040237842	0.286	0.184	1	"InS"	"Gnas"
"Myo162"	0.00011946616323486	0.382555667732615	0.209	0.121	1	"InS"	"Myo16"
"Hcn12"	0.000120554438764588	0.304480499867499	0.461	0.349	1	"InS"	"Hcn1"
"Sv2a1"	0.000122731431226746	0.271680623556971	0.277	0.172	1	"InS"	"Sv2a"
"G3bp2"	0.00013127042303349	0.328042239085568	0.218	0.129	1	"InS"	"G3bp2"
"E130307A14Rik"	0.000139607933161787	0.262682395199727	0.223	0.132	1	"InS"	"E130307A14Rik"
"Bcl11a2"	0.000146904126846426	0.289370579138849	0.374	0.258	1	"InS"	"Bcl11a"
"Naa20"	0.000152053743113928	0.29281510039601	0.141	0.072	1	"InS"	"Naa20"
"Gnal1"	0.0001630534587854	0.325739161778565	0.194	0.111	1	"InS"	"Gnal"
"Kif1a1"	0.000163632760926819	0.30896056214272	0.403	0.282	1	"InS"	"Kif1a"
"Nav21"	0.000182119746538958	0.259189275558145	0.612	0.511	1	"InS"	"Nav2"
"Man2a21"	0.000187156933558861	0.298493110009295	0.175	0.096	1	"InS"	"Man2a2"
"Slc4a31"	0.000195681024948148	0.279454256571658	0.388	0.277	1	"InS"	"Slc4a3"
"Dpysl41"	0.000199756959348759	0.340447608290975	0.184	0.103	1	"InS"	"Dpysl4"
"St7"	0.000200383499454401	0.389351885067628	0.228	0.142	1	"InS"	"St7"
"4732471J01Rik"	0.000206764183573164	0.292039543718289	0.252	0.158	1	"InS"	"4732471J01Rik"
